Author,Title,Abstract,Journal,Year
"Russell S, Norvig P",Artificial Intelligence: a modern approach,"From the enraged robots in the 1920 play R.U.R. to the homicidal computer H.A.L. in 2001: A Space Odyssey, science fiction writers have embraced the dark side of artificial intelligence (AI) ever since the concept entered our collective imagination. Sluggish progress in AI research, especially during the “AI winter” of the 1970s and 1980s, made such worries seem far-fetched. But recent breakthroughs in machine learning and vast improvements in computational power have brought a flood of research funding— and fresh concerns about where AI may lead us. One researcher now speaking up is Stuart Russell, a computer scientist at the University of California, Berkeley, who with Peter Norvig, director of research at Google, wrote the premier AI textbook, Artificial Intelligence: A Modern Approach, now in its third edition. Last year, Russell joined the Centre for the Study of Existential Risk at Cambridge University in the United Kingdom as an AI expert focusing on “risks that could lead to human extinction.” Among his chief concerns, which he aired at an April meeting in Geneva, Switzerland, run by the United Nations, is the danger of putting military drones and weaponry under the full control of AI systems. This interview has been edited for clarity and brevity.","Science (New York, N.Y.)",2015
"Witten IH, Frank E, Hall MA, et al",Data Mining: practical Machine Learning tools and techniques,,,
"Zaki MJ, Meira Jr, W",Data Mining and analysis: fundamental concepts and algorithms,,,
"Passfield L, Hopker JG",A mine of information: can sports analytics provide wisdom from your data? Int J Sports Physiol Perform,"This paper explores the notion that the availability and analysis of large data sets have the capacity to improve practice and change the nature of science in the sport and exercise setting. The increasing use of data and information technology in sport is giving rise to this change. Web sites hold large data repositories, and the development of wearable technology, mobile phone applications, and related instruments for monitoring physical activity, training, and competition provide large data sets of extensive and detailed measurements. Innovative approaches conceived to more fully exploit these large data sets could provide a basis for more objective evaluation of coaching strategies and new approaches to how science is conducted. An emerging discipline, sports analytics, could help overcome some of the challenges involved in obtaining knowledge and wisdom from these large data sets. Examples of where large data sets have been analyzed, to evaluate the career development of elite cyclists and to characterize and optimize the training load of well-trained runners, are discussed. Careful verification of large data sets is time consuming and imperative before useful conclusions can be drawn. Consequently, it is recommended that prospective studies be preferred over retrospective analyses of data. It is concluded that rigorous analysis of large data sets could enhance our knowledge in the sport and exercise sciences, inform competitive strategies, and allow innovative new research and findings.",International journal of sports physiology and performance,2017
"Rein R, Memmert D",Big data and tactical analysis in elite soccer: future challenges and opportunities for sports science,"Until recently tactical analysis in elite soccer were based on observational data using variables which discard most contextual information. Analyses of team tactics require however detailed data from various sources including technical skill, individual physiological performance, and team formations among others to represent the complex processes underlying team tactical behavior. Accordingly, little is known about how these different factors influence team tactical behavior in elite soccer. In parts, this has also been due to the lack of available data. Increasingly however, detailed game logs obtained through next-generation tracking technologies in addition to physiological training data collected through novel miniature sensor technologies have become available for research. This leads however to the opposite problem where the shear amount of data becomes an obstacle in itself as methodological guidelines as well as theoretical modelling of tactical decision making in team sports is lacking. The present paper discusses how big data and modern machine learning technologies may help to address these issues and aid in developing a theoretical model for tactical decision making in team sports. As experience from medical applications show, significant organizational obstacles regarding data governance and access to technologies must be overcome first. The present work discusses these issues with respect to tactical analyses in elite soccer and propose a technological stack which aims to introduce big data technologies into elite soccer research. The proposed approach could also serve as a guideline for other sports science domains as increasing data size is becoming a wide-spread phenomenon.",SpringerPlus,2016
"Blei DM, Smyth P",Science and data science,"Data science has attracted a lot of attention, promising to turn vast amounts of data into useful predictions and insights. In this article, we ask why scientists should care about data science. To answer, we discuss data science from three perspectives: statistical, computational, and human. Although each of the three is a critical component of data science, we argue that the effective combination of all three components is the essence of what data science is about.",Proceedings of the National Academy of Sciences of the United States of America,2017
"Bunker RP, Thabtah F",A machine learning framework for sport result prediction,,,
"Israni ST, Verghese A",Hu manizing artificial intelligence,,,
"Shortliffe EH, Sepúlveda MJ",Clinical decision support in the era of artificial intelligence,"A fundamental challenge in the field of clinical decision support is to determine what characteristics of systems make them effective in supporting particular types of clinical decisions. However, we lack such a theory of decision support itself and a model to describe clinical decisions and the systems to support them. This article outlines such a framework. We present a two-stream model of information flow within clinical decision-support systems (CDSSs): reasoning about the patient (the clinical stream), and reasoning about the user (the cognitive-behavioral stream). We propose that CDSS ""effectiveness"" be measured not only in terms of a system's impact on clinical care, but also in terms of how (and by whom) the system is used, its effect on work processes, and whether it facilitates appropriate decisions by clinicians and patients. Future research into which factors improve the effectiveness of decision support should not regard CDSSs as a single entity, but should instead differentiate systems based on their attributes, users, and the decision being supported.",Journal of the American Medical Informatics Association : JAMIA,2016
Baker M,Data science: industry allure,,Nature,2015
"Jordan MI1, Mitchell TM2","Machine learning: trends, perspectives, and prospects",,,
"McCall A, Davison M, Carli ng C, et al",Can off-field ‘brains ’provide a competitive advantage in professi onal football? Br J Sports Med,,British journal of sports medicine,2016
Nassis GP,Leadership in science and medicine: can you see the gap? Sci Med Football,,,
"Borresen J, Lambert MI","The quantification of training load, the training response and the effect on performance","Historically, the ability of coaches to prescribe training to achieve optimal athletic performance can be attributed to many years of personal experience. A more modern approach is to adopt scientific methods in the development of optimal training programmes. However, there is not much research in this area, particularly into the quantification of training programmes and their effects on physiological adaptation and subsequent performance. Several methods have been used to quantify training load, including questionnaires, diaries, physiological monitoring and direct observation. More recently, indices of training stress have been proposed, including the training impulse, which uses heart rate measurements and training load, and session rating of perceived exertion measurements, which utilizes subjective perception of effort scores and duration of exercise. Although physiological adaptations to training are well documented, their influence on performance has not been accurately quantified. To date, no single physiological marker has been identified that can measure the fitness and fatigue responses to exercise or accurately predict performance. Models attempting to quantify the relationship between training and performance have been proposed, many of which consider the athlete as a system in which the training load is the input and performance the system output. Although attractive in concept, the accuracy of these theoretical models has proven poor. A possible reason may be the absence of a measure of individuality in each athlete's response to training. Thus, in the future more attention should be directed towards measurements that reflect individual capacity to respond or adapt to exercise training rather than an absolute measure of changes in physiological variables that occur with training.","Sports medicine (Auckland, N.Z.)",2009
"López-Valenciano A, Ayala F, Puerta JM, et al",A preventive model for muscle injuries: a novel approach based on learning algorithms,The application of contemporary statistical approaches coming from Machine Learning and Data Mining environments to build more robust predictive models to identify athletes at high risk for injury might support injury prevention strategies of the future.,Medicine and science in sports and exercise,2018
"Novatchkov H, Baca A",Artificial intelligence in sports on the example of weight training,"The overall goal of the present study was to illustrate the potential of artificial intelligence (AI) techniques in sports on the example of weight training. The research focused in particular on the implementation of pattern recognition methods for the evaluation of performed exercises on training machines. The data acquisition was carried out using way and cable force sensors attached to various weight machines, thereby enabling the measurement of essential displacement and force determinants during training. On the basis of the gathered data, it was consequently possible to deduce other significant characteristics like time periods or movement velocities. These parameters were applied for the development of intelligent methods adapted from conventional machine learning concepts, allowing an automatic assessment of the exercise technique and providing individuals with appropriate feedback. In practice, the implementation of such techniques could be crucial for the investigation of the quality of the execution, the assistance of athletes but also coaches, the training optimization and for prevention purposes. For the current study, the data was based on measurements from 15 rather inexperienced participants, performing 3-5 sets of 10-12 repetitions on a leg press machine. The initially preprocessed data was used for the extraction of significant features, on which supervised modeling methods were applied. Professional trainers were involved in the assessment and classification processes by analyzing the video recorded executions. The so far obtained modeling results showed good performance and prediction outcomes, indicating the feasibility and potency of AI techniques in assessing performances on weight training equipment automatically and providing sportsmen with prompt advice. Key pointsArtificial intelligence is a promising field for sport-related analysis.Implementations integrating pattern recognition techniques enable the automatic evaluation of data measurements.Artificial neural networks applied for the analysis of weight training data show good performance and high classification rates.",Journal of sports science & medicine,2013
"Moher D, Liberati A, Tetzlaff J, Altman DG, PRISMA Group",Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,"The Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) statement, published in 2009, was designed to help systematic reviewers transparently report why the review was done, what the authors did, and what they found. Over the past decade, advances in systematic review methodology and terminology have necessitated an update to the guideline. The PRISMA 2020 statement replaces the 2009 statement and includes new reporting guidance that reflects advances in methods to identify, select, appraise, and synthesise studies. The structure and presentation of the items have been modified to facilitate implementation. In this article, we present the PRISMA 2020 27-item checklist, an expanded checklist that details reporting recommendations for each item, the PRISMA 2020 abstract checklist, and the revised flow diagrams for original and updated reviews.",BMJ (Clinical research ed.),2021
"Saw AE, Main LC, Gastin PB",Monitoring the athlete training response: subjective self-reported measures trump commonly used objective measures: a systematic review,"Monitoring athlete well-being is essential to guide training and to detect any progression towards negative health outcomes and associated poor performance. Objective (performance, physiological, biochemical) and subjective measures are all options for athlete monitoring.",British journal of sports medicine,2016
"Horsley T, Dingwall O, Sampson M",Checking reference lists to find additional studies for systematic reviews,"Checking reference lists to identify relevant studies for systematic reviews is frequently recommended by systematic review manuals and is often undertaken by review authors. To date, no systematic review has explicitly examined the effectiveness of checking reference lists as a method to supplement electronic searching.",The Cochrane database of systematic reviews,2011
Li C,Predict the neural network mathematical model of basketball team scores based on improved BP algorithm,"Deep learning has achieved impressive prediction accuracies in a variety of scientific and industrial domains. However, the nested nonlinear feature of deep learning makes the learning highly nontransparent, i.e., it is still unknown how the learning coordinates a huge number of parameters to achieve decision-making. To explain this hierarchical credit assignment, we propose a mean-field learning model by assuming that an ensemble of subnetworks, rather than a single network, is trained for a classification task. Surprisingly, our model reveals that apart from some deterministic synaptic weights connecting two neurons at neighboring layers, there exists a large number of connections that can be absent, and other connections can allow for a broad distribution of their weight values. Therefore, synaptic connections can be classified into three categories: very important ones, unimportant ones, and those of variability that may partially encode nuisance factors. Therefore, our model learns the credit assignment leading to the decision and predicts an ensemble of sub-networks that can accomplish the same task, thereby providing insights toward understanding the macroscopic behavior of deep learning through the lens of distinct roles of synaptic weights.",Physical review letters,2020
Lu G,Evaluation model of young basketball players ’physical quality and basic technique based on RBF neural network,,,
Wu L,The participating team ’s technical analysis of women ’s basketball in the 30th Olympic Games based on neural network,,,
Zhang Q,Prediction based on basketball competition video athlete behaviors and on-line RBF neural network application,,,
"Kempe M, Grunz A, Memmert D",Detecting tactical patterns in basketball: comparison of merge self-organising maps and dynamic controlled neural networks,"The soaring amount of data, especially spatial-temporal data, recorded in recent years demands for advanced analysis methods. Neural networks derived from self-organizing maps established themselves as a useful tool to analyse static and temporal data. In this study, we applied the merge self-organising map (MSOM) to spatio-temporal data. To do so, we investigated the ability of MSOM's to analyse spatio-temporal data and compared its performance to the common dynamical controlled network (DyCoN) approach to analyse team sport position data. The position data of 10 players were recorded via the Ubisense tracking system during a basketball game. Furthermore, three different pre-selected plays were recorded for classification. Following data preparation, the different nets were trained with the data of the first half. The training success of both networks was evaluated by achieved entropy. The second half of the basketball game was presented to both nets for automatic classification. Both approaches were able to present the trained data extremely well and to detect the pre-selected plays correctly. In conclusion, MSOMs are a useful tool to analyse spatial-temporal data, especially in team sports. By their direct inclusion of different time length of tactical patterns, they open up new opportunities within team sports.",European journal of sport science,2015
"Bianchi F, Facchinetti T, Zuccolotto P",Role revolution: towards a new meaning of positions in basketball,,,
"Tilp M, Schrapf N",Analysis of tactical defensive behavior in team handball by means of artificial neural networks,,,
"Hassan A, Schrapf N, Ramadan W, et a l",Evaluation of ta ctical training in team handball by means of artificial neural networks,,,
"Hassan A, Schrapf N, Tilp M",The prediction of action positions in team handball by non-linear hybrid neural networks,,,
"Schrapf N, Alsaied S, Tilp M",Tactical interaction of offensive and defensive teams in team handball analysed by artificial neural networks,,,
"Abdullah MR, Maliki ABHM, Musa RM, et al",Intelligent prediction of soccer technical skill on youth soccer player ’s relative performance using multivariate analysis and artificial neural network techniques,,,
"Strnad D, Nerat A, Kohek Š",Neural network models for group behavior prediction: a case of soccer match attendance,,,
"Park YJ, Kim HS, Kim D, et al",A deep learning-based sports player evaluation model based on game statistics and news articles,,,
"Tümer AE, Koçer S",Prediction of team league ’s rankings in volleyball by artificial neural network method,,,
"Croft H, Lamb P, Middlemas S",The application of self-organising maps to performance analysis data i n rugby union,,,
"Fuster-Parra P, Garcia-Mas A, Cantallops J, et al",Ranking features on psychological dynamics of cooperative team work through Bayesian networks,,,
"Link D, Hoernig M",Individual ball possession in soccer,"This paper describes models for detecting individual and team ball possession in soccer based on position data. The types of ball possession are classified as Individual Ball Possession (IBC), Individual Ball Action (IBA), Individual Ball Control (IBC), Team Ball Possession (TBP), Team Ball Control (TBC) und Team Playmaking (TPM) according to different starting points and endpoints and the type of ball control involved. The machine learning approach used is able to determine how long the ball spends in the sphere of influence of a player based on the distance between the players and the ball together with their direction of motion, speed and the acceleration of the ball. The degree of ball control exhibited during this phase is classified based on the spatio-temporal configuration of the player controlling the ball, the ball itself and opposing players using a Bayesian network. The evaluation and application of this approach uses data from 60 matches in the German Bundesliga season of 2013/14, including 69,667 IBA intervals. The identification rate was F = .88 for IBA and F = .83 for IBP, and the classification rate for IBC was κ = .67. Match analysis showed the following mean values per match: TBP 56:04 ± 5:12 min, TPM 50:01 ± 7:05 min and TBC 17:49 ± 8:13 min. There were 836 ± 424 IBC intervals per match and their number was significantly reduced by -5.1% from the 1st to 2nd half. The analysis of ball possession at the player level indicates shortest accumulated IBC times for the central forwards (0:49 ± 0:43 min) and the longest for goalkeepers (1:38 ± 0:58 min), central defenders (1:38 ± 1:09 min) and central midfielders (1:27 ± 1:08 min). The results could improve performance analysis in soccer, help to detect match events automatically, and allow discernment of higher value tactical structures, which is based on individual ball possession.",PloS one,2017
Healey G,"Learning, visualizing, and assessing a model for the intrinsic value of a batted ball",,,
"Jelinek HF, Kelarev A, Robinson DJ, et al",Using meta-regression data mining to improve predictions of performance based on heart rate dynamics for Australian football,"Cardiovascular autonomic neuropathy (CAN) is a serious and well known complication of diabetes. Previous articles circumvented the problem of missing values in CAN data by deleting all records and fields with missing values and applying classifiers trained on different sets of features that were complete. Most of them also added alternative features to compensate for the deleted ones. Here we introduce and investigate a new method for classifying CAN data with missing values. In contrast to all previous papers, our new method does not delete attributes with missing values, does not use classifiers, and does not add features. Instead it is based on regression and meta-regression combined with the Ewing formula for identifying the classes of CAN. This is the first article using the Ewing formula and regression to classify CAN. We carried out extensive experiments to determine the best combination of regression and meta-regression techniques for classifying CAN data with missing values. The best outcomes have been obtained by the additive regression meta-learner based on M5Rules and combined with the Ewing formula. It has achieved the best accuracy of 99.78% for two classes of CAN, and 98.98% for three classes of CAN. These outcomes are substantially better than previous results obtained in the literature by deleting all missing attributes and applying traditional classifiers to different sets of features without regression. Another advantage of our method is that it does not require practitioners to perform more tests collecting additional alternative features.",Computers in biology and medicine,2013
"Robertson S, Back N, Bartlett JD",Explaining match outcome in elite Australian Rules football using team performance indicators,"The relationships between team performance indicators and match outcome have been examined in many team sports, however are limited in Australian Rules football. Using data from the 2013 and 2014 Australian Football League (AFL) regular seasons, this study assessed the ability of commonly reported discrete team performance indicators presented in their relative form (standardised against their opposition for a given match) to explain match outcome (Win/Loss). Logistic regression and decision tree (chi-squared automatic interaction detection (CHAID)) analyses both revealed relative differences between opposing teams for ""kicks"" and ""goal conversion"" as the most influential in explaining match outcome, with two models achieving 88.3% and 89.8% classification accuracies, respectively. Models incorporating a smaller performance indicator set displayed a slightly reduced ability to explain match outcome (81.0% and 81.5% for logistic regression and CHAID, respectively). However, both were fit to 2014 data with reduced error in comparison to the full models. Despite performance similarities across the two analysis approaches, the CHAID model revealed multiple winning performance indicator profiles, thereby increasing its comparative feasibility for use in the field. Coaches and analysts may find these results useful in informing strategy and game plan development in Australian Rules football, with the development of team-specific models recommended in future.",Journal of sports sciences,2016
"Woods CT, Veale J, Fransen J, et al",Classification of playing position in elite junior Australian football using technical skill indicators,"​In team sport, classifying playing position based on a players' expressed skill sets can provide a guide to talent identification by enabling the recognition of performance attributes relative to playing position. Here, elite junior Australian football players were a priori classified into 1 of 4 common playing positions; forward, midfield, defence, and ruck. Three analysis approaches were used to assess the extent to which 12 in-game skill performance indicators could classify playing position. These were a linear discriminant analysis (LDA), random forest, and a PART decision list. The LDA produced classification accuracy of 56.8%, with class errors ranging from 19.6% (midfielders) to 75.0% (ruck). The random forest model performed at a slightly worse level (51.62%), with class errors ranging from 27.8% (midfielders) to 100% (ruck). The decision list revealed 6 rules capable of classifying playing position at accuracy of 70.1%, with class errors ranging from 14.4% (midfielders) to 100% (ruck). Although the PART decision list produced the greatest relative classification accuracy, the technical skill indicators reported were generally unable to accurately classify players according to their position using the 3 analysis approaches. This player homogeneity may complicate recruitment by constraining talent recruiter's ability to objectively recognise distinctive positional attributes.",Journal of sports sciences,2018
"Leicht AS, Gomez MA, Woods CT",Explaining match outcome during the men ’s basketball tournament at the Olympic Games,"In preparation for the Olympics, there is a limited opportunity for coaches and athletes to interact regularly with team performance indicators providing important guidance to coaches for enhanced match success at the elite level. This study examined the relationship between match outcome and team performance indicators during men's basketball tournaments at the Olympic Games. Twelve team performance indicators were collated from all men's teams and matches during the basketball tournament of the 2004-2016 Olympic Games (n = 156). Linear and non-linear analyses examined the relationship between match outcome and team performance indicator characteristics; namely, binary logistic regression and a conditional interference (CI) classification tree. The most parsimonious logistic regression model retained 'assists', 'defensive rebounds', 'field-goal percentage', 'fouls', 'fouls against', 'steals' and 'turnovers' (delta AIC <0.01; Akaike weight = 0.28) with a classification accuracy of 85.5%. Conversely, four performance indicators were retained with the CI classification tree with an average classification accuracy of 81.4%. However, it was the combination of 'field-goal percentage' and 'defensive rebounds' that provided the greatest probability of winning (93.2%). Match outcome during the men's basketball tournaments at the Olympic Games was identified by a unique combination of performance indicators. Despite the average model accuracy being marginally higher for the logistic regression analysis, the CI classification tree offered a greater practical utility for coaches through its resolution of non-linear phenomena to guide team success.",Journal of sports science & medicine,2017
"Leicht AS, Gomez MA, Woods CT",Team performance indicators explain outcome during women ’s basketball matches at the Olympic Games,"The Olympic Games is the pinnacle international sporting competition with team sport coaches interested in key performance indicators to assist the development of match strategies for success. This study examined the relationship between team performance indicators and match outcome during the women's basketball tournament at the Olympic Games. Team performance indicators were collated from all women's basketball matches during the 2004⁻2016 Olympic Games (<i>n</i> = 156) and analyzed via linear (binary logistic regression) and non-linear (conditional interference (CI) classification tree) statistical techniques. The most parsimonious linear model retained ""defensive rebounds"", ""field-goal percentage"", ""offensive rebounds"", ""fouls"", ""steals"", and ""turnovers"" with a classification accuracy of 85.6%. The CI classification tree retained four performance indicators with a classification accuracy of 86.2%. The combination of ""field-goal percentage"", ""defensive rebounds"", ""steals"", and ""turnovers"" provided the greatest probability of winning (91.1%), while a combination of ""field-goal percentage"", ""steals"", and ""turnovers"" provided the greatest probability of losing (96.7%). Shooting proficiency and defensive actions were identified as key team performance indicators for Olympic female basketball success. The development of key defensive strategies and/or the selection of athletes highly proficient in defensive actions may strengthen Olympic match success. Incorporation of non-linear analyses may provide teams with superior/practical approaches for elite sporting success.","Sports (Basel, Switzerland)",2017
Cene E,What is the difference bet ween a winning and a losing team: insights from Euroleague basketball,,,
"Montoliu R, Martin-Felez R, Torres-Sospedra J, et al",Team activity recognition in Association Football using a Bag-of-Words-based method,"In this paper, a new methodology is used to perform team activity recognition and analysis in Association Football. It is based on pattern recognition and machine learning techniques. In particular, a strategy based on the Bag-of-Words (BoW) technique is used to characterize short Football video clips that are used to explain the team's performance and to train advanced classifiers in automatic recognition of team activities. In addition to the neural network-based classifier, three more classifier families are tested: the k-Nearest Neighbor, the Support Vector Machine and the Random Forest. The results obtained show that the proposed methodology is able to explain the most common movements of a team and to perform the team activity recognition task with high accuracy when classifying three Football actions: Ball Possession, Quick Attack and Set Piece. Random Forest is the classifier obtaining the best classification results.",Human movement science,2015
"Carpita M, Sandri M, Simonetto A, et al",Discovering the drivers of football match outcomes with data mining,,,
Bock JR,Empirical prediction of turnovers in NFL Football,"Turnovers in the National Football League (NFL) occur whenever a team loses possession of the ball due to a fumble, or an interception. Turnovers disrupt momentum of the offensive team, and represent lost opportunities to advance downfield and score. Teams with a positive differential turnover margin in a given game win 70 % of the time. Turnovers are statistically rare events, occurring apparently randomly. These characteristics make them difficult to predict. This investigation advances the hypothesis that turnovers are predictable in NFL football. Machine learning models are developed to learn the concept: At any point within a football game, what is the likelihood that a turnover will be observed on the next play from scrimmage? NFL play-by-play data for 32 teams spanning seven full seasons were used to train the models. Results presented suggest evidence to support the working hypothesis. Under certain conditions, both fumbles and interceptions can be anticipated at low false discovery rates (less than 15 % ). When a turnover is predicted on the impending play from scrimmage, a high degree of confidence is associated with that prediction. The ability to anticipate catastrophic in-game events may lead to their management and control, ultimately improving the performance of individual athletes and their teams. This investigation contributes to the sports science literature by demonstrating the predictability of in-game events often considered to be essentially random in their occurrence. To the author's knowledge, direct prediction of turnovers has not previously appeared in the literature, which has focused on retrospective statistical analyses of turnover margin in football games.","Sports (Basel, Switzerland)",2016
"Morgan S, Williams MD, Barnes C",Applying decision tree induction for identification of important attributes in one-versus-one player interactions: a hockey exemplar,"Decision tree induction is a novel approach to exploring attacker-defender interactions in many sports. In this study hockey was chosen as an example to illustrate the potential use of decision tree inductions for the purpose of identifying and communicating characteristics that drive the outcome. Elite female players performed one-versus-one contests (n = 75) over two sessions. Each contest outcome was classified as either a win or loss. Position data were acquired using radio-tracking devices, and movement-based derivatives were calculated for two time epochs (5 to 2.5 seconds, and 2.5 to zero seconds before the outcome occurred). A decision tree model was trained using these attributes from the first session data, which predicted that when the attacker was moving at ≥ 0.5 m · s(-1) faster than the defender during the early epoch, the probability of an attacker's win was 1.00. Conversely, when the speed difference at that time was below this threshold the probability of a loss was 0.78. Secondary attributes included defender speed in the lateral direction during the early epoch, and angle of attack (i.e., angle between the respective velocity vectors of the attacker and defender) during the late epoch. The model was then used to predict outcomes of one-versus-one contests from the second session (accuracy = 0.643; area under the receiver operating characteristic (ROC) curve = 0.712). Moreover, decision trees provide an intuitive framework for relating spatial-temporal concepts to coaches, and the suitability of decision trees for analysing the features of one-versus-one exchanges are discussed.",Journal of sports sciences,2013
"Hoch T, Tan X, Leser R, et al",A knowledge discovery framework for the assessment of tactical behaviour in soccer based on spatiotemporal data,,,
Sankaran S,Comparing pay versus performance of IPL Bowlers: an application of cluster analysis,,,
Wang M,Evaluating technical and tactical abilities of football teams in euro 2012 based on improved information entropy model and SOM neural networks,,,
"Vales-Alonso J, Chaves-Dieguez D, Pablo LM, et al",SAETA: a smart coaching assistant for professional volleyball training,,,
Sheng L,Study of application of factors of volleyball game based on data mining,"The anti‑inflammatory effects of aloin, a bioactive ingredient extracted from Aloe vera, have been described previously. The present study aimed to assess these effects and explore the underlying molecular mechanisms. RAW264.7 cells were incubated with different doses of aloin (100, 150 and 200 µg/ml) and lipopolysaccharide (LPS; 100 ng/ml) for the indicated times. Then, inducible nitric oxide synthase (iNOS) and cyclooxygenase‑2 expression levels were detected by western blot analysis and reverse transcription polymerase chain reaction (RT‑PCR).The concentrations of inflammatory cytokines in the cell culture supernatant were determined by ELISA. Total nitric oxide (NO) assay and reactive oxygen species (ROS) kits were used to detect NO and ROS levels, respectively. Mitogen‑activated protein kinase, nuclear factor κB and Janus kinase‑signal transducer and activator of transcription (JAK‑STAT) pathway activation were verified by western blot analysis. Confocal and nucleocytoplasmic separation experiments were used to detect STAT nuclear translocation. It was identified that aloin decreased the level of LPS‑induced iNOS expression, inhibiting the release of interleukin (IL)‑1β, IL‑6, tumour necrosis factor‑α and NO dose‑dependently. Mechanistically, aloin suppressed LPS‑induced JAK1‑STAT1/3 activation and STAT1/3 nuclear translocation. Additionally, LPS‑induced ROS production was inhibited by aloin. Collectively, these data suggest that aloin attenuated LPS‑induced inflammation by inhibiting ROS‑mediated activation of the JAK1‑STAT1/3 signalling pathway, thereby inhibiting the nuclear translocation of STAT1/3 in RAW264.7 cells. The present study provides an experimental basis for the clinical application of aloin in inflammatory‑associated diseases.",International journal of molecular medicine,2018
"Haiyan J, Jianqiang F",Application of data mining in technical and tactical analysis of volleyball match,,,
